recommendation_source,graph_hop_distance,n,actual_accuracy,mean_dars_prob,mean_response_time,rapid_guess_rate,remediation_rate,mean_question_elo
Graph route,1,67708,0.6201187451999763,0.6676833759767264,90.32485083003486,0.008004962485969162,0.37782832161635255,1388.094316772021
fallback,0,190,0.45263157894736844,0.4573484476243748,118.50526315789473,0.0,0.0,1550.8684210526317
fallback,2,1416,0.4971751412429379,0.5181138308603014,112.62711864406779,0.002824858757062147,0.1362994350282486,1508.0614406779662
fallback,3,1358,0.5058910162002945,0.5176529688369059,112.26877761413844,0.0014727540500736377,0.15095729013254786,1507.7245949926362
