model,evaluation_split,n,brier,rmse,log_loss,accuracy_at_0_5,roc_auc,ece_10_bins,mce_10_bins,mean_predicted_correct,actual_accuracy
DARS+ calibrated,held_out_students,21332,0.22444558310083604,0.47375688185063447,0.6393020194132677,0.6306019126195387,0.6318549169643204,0.006228918827969017,0.011757909570698666,0.6191987949850134,0.6155072192012001
Glicko-2,held_out_students,21332,0.2308353551244991,0.4804532808967997,0.6545671501897831,0.6195855990999437,0.6154645329200075,0.04677177630905448,0.17366841186574528,0.6148615143462767,0.6155072192012001
Fixed Elo K=32,held_out_students,21332,0.23119569421713704,0.4808281337620928,0.6551255826986035,0.6186011625726608,0.6117901509356383,0.04745133488883435,0.3468145426827512,0.6197136216755259,0.6155072192012001
Static start,held_out_students,21332,0.23816702502707626,0.4880235906460632,0.6772818445858183,0.616866679167448,0.6085426519974602,0.08731181638057424,0.16709155202325526,0.6655686308993777,0.6155072192012001
DARS,held_out_students,21332,0.23888497976104,0.4887586109328817,0.6821629749804117,0.619069941871367,0.6105044782234118,0.09176908251241729,0.16801009717821858,0.6680174733409338,0.6155072192012001
