Model,Brier Score,Log Loss,Accuracy,ROC AUC,ECE (10 bins)
DARS+ Calibrated,0.1368385388582767,0.42510062418278494,0.8140757248709728,0.8130818732060379,0.009558229404275219
Fixed Elo K=32,0.1811814311347392,0.5407102930123021,0.7341116667723128,0.7475002503044317,0.024426511169483106
Glicko-2,0.20766315259681858,0.6090377318286956,0.6885181638937357,0.6630071337179103,0.04911425951247305
Static Start,0.21978762582572578,0.6314472783613018,0.6738867407523557,0.5,0.004921832504534263
DARS,0.2561751381379326,0.7124507251536055,0.553424099978982,0.6705461175855137,0.22264915857631976
